posicao,jogador,time,gols,penaltis
1,Lionel Messi,Argentina,5,0
2,Deniz Undav,Germany,3,0
3,Jonathan David,Canada,3,0
4,Vinícius Júnior,Brazil,2,0
5,Ismael Saibari,Morocco,2,0
6,Johan Manzambi,Switzerland,2,0
7,Cyle Larin,Canada,2,0
8,Crysencio Summerville,Netherlands,2,0
9,Cody Gakpo,Netherlands,2,0
10,Ayase Ueda,Japan,2,0
11,Yasin Ayari,Sweden,2,0
12,Kai Havertz,Germany,2,1
13,Daichi Kamada,Japan,2,0
14,Matheus Cunha,Brazil,2,0
15,Folarin Balogun,USA,2,0
16,Brian Brobbey,Netherlands,2,0
17,Maxi Araújo,Uruguay,2,0
18,Kylian Mbappé,France,2,0
19,Mikel Oyarzabal,Spain,2,0
20,Erling Haaland,Norway,2,0
21,Aymen Hussein,Iraq,2,0
22,Harry Kane,England,2,1
23,Elijah Just,New Zealand,2,0
24,Teboho Mokoena,South Africa,1,1
25,Michal Sadílek,Czech Republic,1,0
26,Jovo Lukić,Bosnia & Herzegovina,1,0
27,Julián Quiñones,Mexico,1,0
28,Oh Hyeon-Gyu,South Korea,1,0
29,Ladislav Krejcí,Czech Republic,1,0
30,Raúl Jiménez,Mexico,1,0
31,Hwang In-Beom,South Korea,1,0
32,Alex Freeman,USA,1,0
33,Cameron Burgess,USA,1,0
34,Connor Metcalfe,Australia,1,0
35,Nestory Irankunda,Australia,1,0
36,Mauricio,Paraguay,1,0
37,Giovanni Reyna,USA,1,0
38,Damian Bobadilla,USA,1,0
39,John McGinn,Scotland,1,0
40,Nathan Saliba,Canada,1,0
41,Ermin Mahmic,Bosnia & Herzegovina,1,0
42,Mohamed Manai,Canada,1,0
43,Luis Romo,Mexico,1,0
44,Miro Muheim,Qatar,1,0
45,Breel Embolo,Switzerland,1,1
46,Rubén Vargas,Switzerland,1,0
47,Granit Xhaka,Switzerland,1,1
48,Alexander Isak,Sweden,1,0
49,Keito Nakamura,Japan,1,0
50,Franck Kessié,Ivory Coast,1,0
51,Virgil van Dijk,Netherlands,1,0
52,Omar Rekik,Tunisia,1,0
53,Mattias Svanberg,Sweden,1,0
54,Anthony Elanga,Sweden,1,0
55,Viktor Gyökeres,Sweden,1,0
56,Junya Ito,Japan,1,0
57,Nathaniel Brown,Germany,1,0
58,Jamal Musiala,Germany,1,0
59,Amad Diallo,Ivory Coast,1,0
60,Livano Comenencia,Curaçao,1,0
61,Nico Schlotterbeck,Germany,1,0
62,Felix Nmecha,Germany,1,0
63,Matías Galarza,Paraguay,1,0
64,Mohamed Salah,Egypt,1,0
65,Mostafa Zico,Egypt,1,0
66,Finn Surman,New Zealand,1,0
67,Mohammad Mohebbi,Iran,1,0
68,Emam Ashour,Egypt,1,0
69,Ramin Rezaeian,Iran,1,0
70,Mohamed Hany,Belgium,1,0
71,Abdulelah Al-Amri,Saudi Arabia,1,0
72,Kevin Pina,Cape Verde,1,0
73,Agustín Cano,Uruguay,1,0
74,Hassan Al-Tambakti,Spain,1,0
75,Lamine Yamal,Spain,1,0
76,Ibrahim Mbaye,Senegal,1,0
77,Bradley Barcola,France,1,0
78,Hélio Varela,Cape Verde,1,0
79,Trézéguet,Egypt,1,0
80,Leo Østigard,Norway,1,0
81,Romano Schmid,Austria,1,0
82,Marko Arnautovic,Austria,1,1
83,Yazan Al-Arab,Austria,1,0
84,João Neves,Portugal,1,0
85,Yoane Wissa,DR Congo,1,0
86,Abbosbek Fayzullaev,Uzbekistan,1,0
87,Ali Olwan,Jordan,1,0
88,Daniel Muñoz,Colombia,1,0
89,Luis Díaz,Colombia,1,0
90,Jáminton Campaz,Colombia,1,0
91,Jude Bellingham,England,1,0
92,Marcus Rashford,England,1,0
93,Martin Baturina,Croatia,1,0
94,Petar Musa,Croatia,1,0
95,Caleb Yirenkyi,Ghana,1,0
