grupo,posicao,time,jogos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo,pontos
Group A,1,Mexico,2,2,0,0,3,0,3,6
Group A,2,South Korea,2,1,0,1,2,2,0,3
Group A,3,Czech Republic,2,0,1,1,2,3,-1,1
Group A,4,South Africa,2,0,1,1,1,3,-2,1
Group B,1,Canada,2,1,1,0,7,1,6,4
Group B,2,Switzerland,2,1,1,0,5,2,3,4
Group B,3,Bosnia & Herzegovina,2,0,1,1,2,5,-3,1
Group B,4,Qatar,2,0,1,1,1,7,-6,1
Group C,1,Brazil,2,1,1,0,4,1,3,4
Group C,2,Morocco,2,1,1,0,2,1,1,4
Group C,3,Scotland,2,1,0,1,1,1,0,3
Group C,4,Haiti,2,0,0,2,0,4,-4,0
Group D,1,USA,2,2,0,0,6,1,5,6
Group D,2,Australia,2,1,0,1,2,2,0,3
Group D,3,Paraguay,2,1,0,1,2,4,-2,3
Group D,4,Turkey,2,0,0,2,0,3,-3,0
Group E,1,Germany,2,2,0,0,9,2,7,6
Group E,2,Ivory Coast,2,1,0,1,2,2,0,3
Group E,3,Ecuador,2,0,1,1,0,1,-1,1
Group E,4,Curaçao,2,0,1,1,1,7,-6,1
Group F,1,Netherlands,2,1,1,0,7,3,4,4
Group F,2,Japan,2,1,1,0,6,2,4,4
Group F,3,Sweden,2,1,0,1,6,6,0,3
Group F,4,Tunisia,2,0,0,2,1,9,-8,0
Group G,1,Egypt,2,1,1,0,4,2,2,4
Group G,2,Iran,2,0,2,0,2,2,0,2
Group G,3,Belgium,2,0,2,0,1,1,0,2
Group G,4,New Zealand,2,0,1,1,3,5,-2,1
Group H,1,Spain,2,1,1,0,4,0,4,4
Group H,2,Uruguay,2,0,2,0,3,3,0,2
Group H,3,Cape Verde,2,0,2,0,2,2,0,2
Group H,4,Saudi Arabia,2,0,1,1,1,5,-4,1
Group I,1,Norway,1,1,0,0,4,1,3,3
Group I,2,France,1,1,0,0,3,1,2,3
Group I,3,Senegal,1,0,0,1,1,3,-2,0
Group I,4,Iraq,1,0,0,1,1,4,-3,0
Group J,1,Argentina,2,2,0,0,5,0,5,6
Group J,2,Austria,2,1,0,1,3,3,0,3
Group J,3,Jordan,1,0,0,1,1,3,-2,0
Group J,4,Algeria,1,0,0,1,0,3,-3,0
Group K,1,Colombia,1,1,0,0,3,1,2,3
Group K,2,Portugal,1,0,1,0,1,1,0,1
Group K,3,DR Congo,1,0,1,0,1,1,0,1
Group K,4,Uzbekistan,1,0,0,1,1,3,-2,0
Group L,1,England,1,1,0,0,4,2,2,3
Group L,2,Ghana,1,1,0,0,1,0,1,3
Group L,3,Panama,1,0,0,1,0,1,-1,0
Group L,4,Croatia,1,0,0,1,2,4,-2,0
