id_jogo,round,fase,grupo,data,horario_utc,cidade,time_casa,time_fora,realizado,gols_casa,gols_fora,ht_casa,ht_fora,et_casa,et_fora,pen_casa,pen_fora,vencedor
,Matchday 1,Group A,Group A,2026-06-11,13:00 UTC-6,Mexico City,Mexico,South Africa,True,2.0,0.0,1.0,0.0,,,,,Mexico
,Matchday 1,Group A,Group A,2026-06-11,20:00 UTC-6,Guadalajara (Zapopan),South Korea,Czech Republic,True,2.0,1.0,0.0,0.0,,,,,South Korea
,Matchday 8,Group A,Group A,2026-06-18,12:00 UTC-4,Atlanta,Czech Republic,South Africa,True,1.0,1.0,1.0,0.0,,,,,Empate
,Matchday 8,Group A,Group A,2026-06-18,19:00 UTC-6,Guadalajara (Zapopan),Mexico,South Korea,True,1.0,0.0,0.0,0.0,,,,,Mexico
,Matchday 14,Group A,Group A,2026-06-24,19:00 UTC-6,Mexico City,Czech Republic,Mexico,False,,,,,,,,,
,Matchday 14,Group A,Group A,2026-06-24,19:00 UTC-6,Monterrey (Guadalupe),South Africa,South Korea,False,,,,,,,,,
,Matchday 2,Group B,Group B,2026-06-12,15:00 UTC-4,Toronto,Canada,Bosnia & Herzegovina,True,1.0,1.0,0.0,1.0,,,,,Empate
,Matchday 3,Group B,Group B,2026-06-13,12:00 UTC-7,San Francisco Bay Area (Santa Clara),Qatar,Switzerland,True,1.0,1.0,0.0,1.0,,,,,Empate
,Matchday 8,Group B,Group B,2026-06-18,12:00 UTC-7,Los Angeles (Inglewood),Switzerland,Bosnia & Herzegovina,True,4.0,1.0,0.0,0.0,,,,,Switzerland
,Matchday 8,Group B,Group B,2026-06-18,15:00 UTC-7,Vancouver,Canada,Qatar,True,6.0,0.0,3.0,0.0,,,,,Canada
,Matchday 14,Group B,Group B,2026-06-24,12:00 UTC-7,Vancouver,Switzerland,Canada,False,,,,,,,,,
,Matchday 14,Group B,Group B,2026-06-24,12:00 UTC-7,Seattle,Bosnia & Herzegovina,Qatar,False,,,,,,,,,
,Matchday 3,Group C,Group C,2026-06-13,18:00 UTC-4,New York/New Jersey (East Rutherford),Brazil,Morocco,True,1.0,1.0,1.0,1.0,,,,,Empate
,Matchday 3,Group C,Group C,2026-06-13,21:00 UTC-4,Boston (Foxborough),Haiti,Scotland,True,0.0,1.0,0.0,1.0,,,,,Scotland
,Matchday 9,Group C,Group C,2026-06-19,18:00 UTC-4,Boston (Foxborough),Scotland,Morocco,True,0.0,1.0,0.0,1.0,,,,,Morocco
,Matchday 9,Group C,Group C,2026-06-19,20:30 UTC-4,Philadelphia,Brazil,Haiti,True,3.0,0.0,3.0,0.0,,,,,Brazil
,Matchday 14,Group C,Group C,2026-06-24,18:00 UTC-4,Miami (Miami Gardens),Scotland,Brazil,False,,,,,,,,,
,Matchday 14,Group C,Group C,2026-06-24,18:00 UTC-4,Atlanta,Morocco,Haiti,False,,,,,,,,,
,Matchday 2,Group D,Group D,2026-06-12,18:00 UTC-7,Los Angeles (Inglewood),USA,Paraguay,True,4.0,1.0,3.0,0.0,,,,,USA
,Matchday 3,Group D,Group D,2026-06-13,21:00 UTC-7,Vancouver,Australia,Turkey,True,2.0,0.0,1.0,0.0,,,,,Australia
,Matchday 9,Group D,Group D,2026-06-19,12:00 UTC-7,Seattle,USA,Australia,True,2.0,0.0,2.0,0.0,,,,,USA
,Matchday 9,Group D,Group D,2026-06-19,20:00 UTC-7,San Francisco Bay Area (Santa Clara),Turkey,Paraguay,True,0.0,1.0,0.0,1.0,,,,,Paraguay
,Matchday 15,Group D,Group D,2026-06-25,19:00 UTC-7,Los Angeles (Inglewood),Turkey,USA,False,,,,,,,,,
,Matchday 15,Group D,Group D,2026-06-25,19:00 UTC-7,San Francisco Bay Area (Santa Clara),Paraguay,Australia,False,,,,,,,,,
,Matchday 4,Group E,Group E,2026-06-14,12:00 UTC-5,Houston,Germany,Curaçao,True,7.0,1.0,3.0,1.0,,,,,Germany
,Matchday 4,Group E,Group E,2026-06-14,19:00 UTC-4,Philadelphia,Ivory Coast,Ecuador,True,1.0,0.0,0.0,0.0,,,,,Ivory Coast
,Matchday 10,Group E,Group E,2026-06-20,16:00 UTC-4,Toronto,Germany,Ivory Coast,True,2.0,1.0,0.0,1.0,,,,,Germany
,Matchday 10,Group E,Group E,2026-06-20,19:00 UTC-5,Kansas City,Ecuador,Curaçao,True,0.0,0.0,0.0,0.0,,,,,Empate
,Matchday 15,Group E,Group E,2026-06-25,16:00 UTC-4,Philadelphia,Curaçao,Ivory Coast,False,,,,,,,,,
,Matchday 15,Group E,Group E,2026-06-25,16:00 UTC-4,New York/New Jersey (East Rutherford),Ecuador,Germany,False,,,,,,,,,
,Matchday 4,Group F,Group F,2026-06-14,15:00 UTC-5,Dallas (Arlington),Netherlands,Japan,True,2.0,2.0,0.0,0.0,,,,,Empate
,Matchday 4,Group F,Group F,2026-06-14,20:00 UTC-6,Monterrey (Guadalupe),Sweden,Tunisia,True,5.0,1.0,2.0,1.0,,,,,Sweden
,Matchday 10,Group F,Group F,2026-06-20,12:00 UTC-5,Houston,Netherlands,Sweden,True,5.0,1.0,2.0,0.0,,,,,Netherlands
,Matchday 10,Group F,Group F,2026-06-20,22:00 UTC-6,Monterrey (Guadalupe),Tunisia,Japan,True,0.0,4.0,0.0,2.0,,,,,Japan
,Matchday 15,Group F,Group F,2026-06-25,18:00 UTC-5,Dallas (Arlington),Japan,Sweden,False,,,,,,,,,
,Matchday 15,Group F,Group F,2026-06-25,18:00 UTC-5,Kansas City,Tunisia,Netherlands,False,,,,,,,,,
,Matchday 5,Group G,Group G,2026-06-15,12:00 UTC-7,Seattle,Belgium,Egypt,True,1.0,1.0,0.0,1.0,,,,,Empate
,Matchday 5,Group G,Group G,2026-06-15,18:00 UTC-7,Los Angeles (Inglewood),Iran,New Zealand,True,2.0,2.0,1.0,1.0,,,,,Empate
,Matchday 11,Group G,Group G,2026-06-21,12:00 UTC-7,Los Angeles (Inglewood),Belgium,Iran,True,0.0,0.0,0.0,0.0,,,,,Empate
,Matchday 11,Group G,Group G,2026-06-21,18:00 UTC-7,Vancouver,New Zealand,Egypt,True,1.0,3.0,1.0,0.0,,,,,Egypt
,Matchday 16,Group G,Group G,2026-06-26,20:00 UTC-7,Seattle,Egypt,Iran,False,,,,,,,,,
,Matchday 16,Group G,Group G,2026-06-26,20:00 UTC-7,Vancouver,New Zealand,Belgium,False,,,,,,,,,
,Matchday 5,Group H,Group H,2026-06-15,12:00 UTC-4,Atlanta,Spain,Cape Verde,True,0.0,0.0,0.0,0.0,,,,,Empate
,Matchday 5,Group H,Group H,2026-06-15,18:00 UTC-4,Miami (Miami Gardens),Saudi Arabia,Uruguay,True,1.0,1.0,1.0,0.0,,,,,Empate
,Matchday 11,Group H,Group H,2026-06-21,12:00 UTC-4,Atlanta,Spain,Saudi Arabia,True,4.0,0.0,3.0,0.0,,,,,Spain
,Matchday 11,Group H,Group H,2026-06-21,18:00 UTC-4,Miami (Miami Gardens),Uruguay,Cape Verde,True,2.0,2.0,2.0,1.0,,,,,Empate
,Matchday 16,Group H,Group H,2026-06-26,19:00 UTC-5,Houston,Cape Verde,Saudi Arabia,False,,,,,,,,,
,Matchday 16,Group H,Group H,2026-06-26,18:00 UTC-6,Guadalajara (Zapopan),Uruguay,Spain,False,,,,,,,,,
,Matchday 6,Group I,Group I,2026-06-16,15:00 UTC-4,New York/New Jersey (East Rutherford),France,Senegal,True,3.0,1.0,0.0,0.0,,,,,France
,Matchday 6,Group I,Group I,2026-06-16,18:00 UTC-4,Boston (Foxborough),Iraq,Norway,True,1.0,4.0,1.0,2.0,,,,,Norway
,Matchday 12,Group I,Group I,2026-06-22,17:00 UTC-4,Philadelphia,France,Iraq,False,,,,,,,,,
,Matchday 12,Group I,Group I,2026-06-22,20:00 UTC-4,New York/New Jersey (East Rutherford),Norway,Senegal,False,,,,,,,,,
